name	group	day	location	trt	window	trt_window
d2_cc_ctrl_002	d2_cc_ctrl	2	cc	ctrl	early	early_ctrl
d2_cc_ctrl_003	d2_cc_ctrl	2	cc	ctrl	early	early_ctrl
d2_cc_ctrl_004	d2_cc_ctrl	2	cc	ctrl	early	early_ctrl
d2_cc_ctrl_005	d2_cc_ctrl	2	cc	ctrl	early	early_ctrl
d2_cc_ctrl_006	d2_cc_ctrl	2	cc	ctrl	early	early_ctrl
d2_cc_ctrl_007	d2_cc_ctrl	2	cc	ctrl	early	early_ctrl
d2_cc_ctrl_008	d2_cc_ctrl	2	cc	ctrl	early	early_ctrl
d2_cc_ctrl_009	d2_cc_ctrl	2	cc	ctrl	early	early_ctrl
d2_cc_ctrl_010	d2_cc_ctrl	2	cc	ctrl	early	early_ctrl
d2_cc_sub_011	d2_cc_sub	2	cc	sub	early	early_sub
d2_cc_sub_012	d2_cc_sub	2	cc	sub	early	early_sub
d2_cc_sub_013	d2_cc_sub	2	cc	sub	early	early_sub
d2_cc_sub_014	d2_cc_sub	2	cc	sub	early	early_sub
d2_cc_sub_015	d2_cc_sub	2	cc	sub	early	early_sub
d2_cc_sub_016	d2_cc_sub	2	cc	sub	early	early_sub
d2_cc_sub_017	d2_cc_sub	2	cc	sub	early	early_sub
d2_cc_sub_018	d2_cc_sub	2	cc	sub	early	early_sub
d2_cc_sub_019	d2_cc_sub	2	cc	sub	early	early_sub
d2_cc_sub_020	d2_cc_sub	2	cc	sub	early	early_sub
d2_cc_ther_021	d2_cc_ther	2	cc	ther	early	early_ther
d2_cc_ther_022	d2_cc_ther	2	cc	ther	early	early_ther
d2_cc_ther_023	d2_cc_ther	2	cc	ther	early	early_ther
d2_cc_ther_024	d2_cc_ther	2	cc	ther	early	early_ther
d2_cc_ther_025	d2_cc_ther	2	cc	ther	early	early_ther
d2_cc_ther_026	d2_cc_ther	2	cc	ther	early	early_ther
d2_cc_ther_027	d2_cc_ther	2	cc	ther	early	early_ther
d2_cc_ther_028	d2_cc_ther	2	cc	ther	early	early_ther
d2_cc_ther_029	d2_cc_ther	2	cc	ther	early	early_ther
d2_cc_ther_030	d2_cc_ther	2	cc	ther	early	early_ther
d2_ic_ctrl_001	d2_ic_ctrl	2	ic	ctrl	early	early_ctrl
d2_ic_ctrl_002	d2_ic_ctrl	2	ic	ctrl	early	early_ctrl
d2_ic_ctrl_003	d2_ic_ctrl	2	ic	ctrl	early	early_ctrl
d2_ic_ctrl_004	d2_ic_ctrl	2	ic	ctrl	early	early_ctrl
d2_ic_ctrl_005	d2_ic_ctrl	2	ic	ctrl	early	early_ctrl
d2_ic_ctrl_006	d2_ic_ctrl	2	ic	ctrl	early	early_ctrl
d2_ic_ctrl_007	d2_ic_ctrl	2	ic	ctrl	early	early_ctrl
d2_ic_ctrl_008	d2_ic_ctrl	2	ic	ctrl	early	early_ctrl
d2_ic_ctrl_009	d2_ic_ctrl	2	ic	ctrl	early	early_ctrl
d2_ic_ctrl_010	d2_ic_ctrl	2	ic	ctrl	early	early_ctrl
d2_ic_sub_011	d2_ic_sub	2	ic	sub	early	early_sub
d2_ic_sub_012	d2_ic_sub	2	ic	sub	early	early_sub
d2_ic_sub_013	d2_ic_sub	2	ic	sub	early	early_sub
d2_ic_sub_014	d2_ic_sub	2	ic	sub	early	early_sub
d2_ic_sub_015	d2_ic_sub	2	ic	sub	early	early_sub
d2_ic_sub_016	d2_ic_sub	2	ic	sub	early	early_sub
d2_ic_sub_017	d2_ic_sub	2	ic	sub	early	early_sub
d2_ic_sub_018	d2_ic_sub	2	ic	sub	early	early_sub
d2_ic_sub_019	d2_ic_sub	2	ic	sub	early	early_sub
d2_ic_sub_020	d2_ic_sub	2	ic	sub	early	early_sub
d2_ic_ther_021	d2_ic_ther	2	ic	ther	early	early_ther
d2_ic_ther_022	d2_ic_ther	2	ic	ther	early	early_ther
d2_ic_ther_023	d2_ic_ther	2	ic	ther	early	early_ther
d2_ic_ther_024	d2_ic_ther	2	ic	ther	early	early_ther
d2_ic_ther_025	d2_ic_ther	2	ic	ther	early	early_ther
d2_ic_ther_026	d2_ic_ther	2	ic	ther	early	early_ther
d2_ic_ther_027	d2_ic_ther	2	ic	ther	early	early_ther
d2_ic_ther_028	d2_ic_ther	2	ic	ther	early	early_ther
d2_ic_ther_029	d2_ic_ther	2	ic	ther	early	early_ther
d2_ic_ther_030	d2_ic_ther	2	ic	ther	early	early_ther
d2_jc_ctrl_001	d2_jc_ctrl	2	jc	ctrl	early	early_ctrl
d2_jc_ctrl_002	d2_jc_ctrl	2	jc	ctrl	early	early_ctrl
d2_jc_ctrl_003	d2_jc_ctrl	2	jc	ctrl	early	early_ctrl
d2_jc_ctrl_004	d2_jc_ctrl	2	jc	ctrl	early	early_ctrl
d2_jc_ctrl_005	d2_jc_ctrl	2	jc	ctrl	early	early_ctrl
d2_jc_ctrl_006	d2_jc_ctrl	2	jc	ctrl	early	early_ctrl
d2_jc_ctrl_007	d2_jc_ctrl	2	jc	ctrl	early	early_ctrl
d2_jc_ctrl_008	d2_jc_ctrl	2	jc	ctrl	early	early_ctrl
d2_jc_ctrl_009	d2_jc_ctrl	2	jc	ctrl	early	early_ctrl
d2_jc_ctrl_010	d2_jc_ctrl	2	jc	ctrl	early	early_ctrl
d2_jc_sub_012	d2_jc_sub	2	jc	sub	early	early_sub
d2_jc_sub_013	d2_jc_sub	2	jc	sub	early	early_sub
d2_jc_sub_014	d2_jc_sub	2	jc	sub	early	early_sub
d2_jc_sub_015	d2_jc_sub	2	jc	sub	early	early_sub
d2_jc_sub_017	d2_jc_sub	2	jc	sub	early	early_sub
d2_jc_sub_018	d2_jc_sub	2	jc	sub	early	early_sub
d2_jc_sub_019	d2_jc_sub	2	jc	sub	early	early_sub
d2_jc_sub_020	d2_jc_sub	2	jc	sub	early	early_sub
d2_jc_ther_021	d2_jc_ther	2	jc	ther	early	early_ther
d2_jc_ther_022	d2_jc_ther	2	jc	ther	early	early_ther
d2_jc_ther_023	d2_jc_ther	2	jc	ther	early	early_ther
d2_jc_ther_024	d2_jc_ther	2	jc	ther	early	early_ther
d2_jc_ther_025	d2_jc_ther	2	jc	ther	early	early_ther
